Titulo;Año;Director;Vista
The Arrival of a Train;1896;Auguste Lumière;1
La sortie de l'usine Lumière à Lyon;1895;Louis Lumière;1
Le tunnel sous La Manche ou Le cauchemar franco-anglais;1907;Georges Méliès;0
A Corner in Wheat;1909;D.W. Griffith;0
The Musketeers of Pig Alley;1912;D.W. Griffith;0
Fantómas a la sombra de la guillotina;1913;Louis Feuillade;0
La conciencia vengadora;1914;D.W. Griffith;0
Ditya bolshogo goroda;1914;Yevgeny Bauer;0
L'enfant de Paris;1913;Léonce Perret;0
The Wishing Ring: An Idyll of Old England;1914;Maurice Tourneur;0
Los vampiros;1915;Louis Feuillade;0
Carmen;1915;Cecil B. DeMille;0
Intolerancia;1916;D.W. Griffith;0
Judex;1916;Louis Feuillade;0
Charlot noctámbulo;1916;Charles Chaplin;0
Tih Minh;1918;Louis Feuillade;0
Barrabás;1919;Louis Feuillade;0
La culpa ajena;1919;D.W. Griffith;0
El gabinete del Dr. Caligari;1920;Robert Wiene;1
La princesa de las ostras;1919;Ernst Lubitsch;0
True Heart Susie;1919;D.W. Griffith;0
El último Mohicano;1920;Clarence Brown;0
Prästänkan;1920;Carl Theodor Dreyer;0
La muñeca;1919;Ernst Lubitsch;0
Cops;1922;Edward F. Cline;0
Las 3 luces;1921;Fritz Lang;0
El chico;1921;Charles Chaplin;1
Nanuk, el esquimal;1922;Robert J. Flaherty;0
El doctor Mabuse;1922;Fritz Lang;0
Esposas frívolas;1922;Erich von Stroheim;0
Nosferatu;1922;F.W. Murnau;1
Las dos huérfanas;1921;D.W. Griffith;0
Raskolnikow;1923;Robert Wiene;0
La souriante Madame Beudet;1923;Germaine Dulac;0
La caravana de Oregón;1923;James Cruze;0
Tres edades;1923;Edward F. Cline;0
Ballet mécanique;1924;Fernand Léger;0
Avaricia;1924;Erich von Stroheim;0
La inhumana;1924;Marcel L'Herbier;0
El último;1924;F.W. Murnau;1
Michael;1924;Carl Theodor Dreyer;0
Los nibelungos - 1ª parte: La muerte de Sigfredo;1924;Fritz Lang;0
París que duerme;1925;René Clair;0
Peter Pan;1924;Herbert Brenon;0
El moderno Sherlock Holmes;1924;Buster Keaton;0
La huelga;1925;Sergei M. Eisenstein;1
El ladrón de Bagdad;1924;Raoul Walsh;0
El gran desfile;1925;King Vidor;0
La fiebre del ajedrez;1925;Vsevolod Pudovkin;0
La quimera del oro;1925;Charles Chaplin;1
El amo de la casa;1925;Carl Theodor Dreyer;0
La viuda alegre;1925;Erich von Stroheim;0
Metrópolis;1927;Fritz Lang;1
El acorazado Potemkin;1925;Sergei M. Eisenstein;1
Siete ocasiones;1925;Buster Keaton;1
El hipócrita;1925;F.W. Murnau;0
Po zakonu;1926;Lev Kuleshov;0
Fausto;1926;F.W. Murnau;1
Hojas de parra;1926;Howard Hawks;0
Moana;1926;Frances H. Flaherty;0
La madre;1926;Vsevolod Pudovkin;0
Kurutta ippêji;1926;Teinosuke Kinugasa;0
Un sombrero de paja de Italia;1928;René Clair;0
Sur un air de Charleston;1927;Jean Renoir;0
El maquinista de La General;1926;Clyde Bruckman;1
El espejo de las tres caras;1927;Jean Epstein;0
Ello;1927;Clarence G. Badger;0
Octubre;1927;Grigoriy Aleksandrov;1
El ring;1927;Alfred Hitchcock;0
El séptimo cielo;1927;Frank Borzage;0
Amanecer;1927;F.W. Murnau;1
El dinero;1928;Marcel L'Herbier;0
El cameraman;1928;Edward Sedgwick;1
Un perro andaluz;1929;Luis Buñuel;1
La caída de la casa Usher;1928;Jean Epstein;0
Y el mundo marcha;1928;King Vidor;0
Los muelles de Nueva York;1928;Josef von Sternberg;0
Leave 'em Laughing;1928;Clyde Bruckman;0
La pasión de Juana de Arco;1928;Carl Theodor Dreyer;0
La pequeña cerillera;1928;Jean Renoir;0
La reina Kelly;1932;Erich von Stroheim;0
Los espías;1928;Fritz Lang;0
Two Tars;1928;James Parrott;0
Arsenal;1929;Aleksandr Dovzhenko;0
Black and Tan Fantasy;1929;Dudley Murphy;0
Chantaje;1929;Alfred Hitchcock;0
Dinamita;1929;Cecil B. DeMille;0
Lo viejo y lo nuevo;1929;Grigoriy Aleksandrov;0
Aleluya;1929;King Vidor;0
Lonesome;1928;Pál Fejös;0
El desfile del amor;1929;Ernst Lubitsch;0
El hombre de la cámara;1929;Dziga Vertov;1
Novyy Vavilon;1929;Grigoriy Kozintsev;0
Thunderbolt;1929;Josef von Sternberg;0
La edad de oro;1930;Luis Buñuel;0
Sin novedad en el frente;1930;Lewis Milestone;0
El ángel azul;1930;Josef von Sternberg;0
La tierra;1930;Aleksandr Dovzhenko;0
Su hombre;1930;Tay Garnett;0
Falsa personalidad;1930;Harry d'Abbadie d'Arrast;0
Monte Carlo;1930;Ernst Lubitsch;0
Bajo los techos de París;1930;René Clair;0
Tabú;1931;F.W. Murnau;0
La esposa de noche;1930;Yasujirô Ozu;0
Gente viva;1931;Roy Del Ruth;0
El campeón;1931;King Vidor;0
La golfa;1931;Jean Renoir;0
